scenario,description,loss_mode,action,target_fraction,pu_prior_offset,n_folds,mean_n_train,mean_n_val,auc_mean,auc_std,average_precision_mean,average_precision_std,mcc_mean,mcc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,fpr_mean,fpr_std
Baseline_supervised,"Original labels, ordinary cross-entropy, same hybrid architecture and hyperparameters.",supervised,none,0.0,0.0,5,1273.6,318.4,0.8267442972633173,0.017097935825867692,0.8369186321040551,0.02576728775694124,0.5366241753969994,0.04647890282957596,0.7593823846904917,0.01881470998998431,0.7675913329784507,0.022494455512869344,0.7859573125024657,0.03668494513676658,0.7351723588886235,0.011176203645673921,0.7351723588886235,0.011176203645673921,0.7997405660377359,0.04267079136322947,0.20025943396226417,0.04267079136322945
nnPU_prior_observed_plus_0.00,Annotated ACPs treated as positive and nominal Non-ACPs as unlabeled; nnPU class prior uses observed positive fraction plus 0.00.,nnpu,none,0.0,0.0,5,1273.6,318.4,0.8167576331276953,0.036788725905540644,0.8327563642945295,0.0310415596247263,0.49675992702281535,0.09243192946102158,0.7427537701464118,0.05853739615232813,0.7474813193746179,0.04621260263368053,0.7484806553881198,0.02892718757126935,0.740140116232784,0.09256628938701814,0.740140116232784,0.09256628938701814,0.7547169811320755,0.02677159511500539,0.24528301886792453,0.02677159511500537
nnPU_prior_observed_plus_0.05,Annotated ACPs treated as positive and nominal Non-ACPs as unlabeled; nnPU class prior uses observed positive fraction plus 0.05.,nnpu,none,0.0,0.05,5,1273.6,318.4,0.7996283435576526,0.040667081614486816,0.8071426312302641,0.033889601912198156,0.46909243735767137,0.057898497240147305,0.7250370678968983,0.05535914973781109,0.7311547485262515,0.029183037110397884,0.7348648809425902,0.023953001978245646,0.7263593662924925,0.12280852107333495,0.7263593662924925,0.12280852107333495,0.7358411949685534,0.07310734489918871,0.2641588050314465,0.0731073448991887
Targeted_exclude_top_5pct_negatives,"Exclude the top 5% of nominal negatives ranked by consensus OOF ACP probability, then completely retrain.",supervised,exclude,0.05,0.0,5,1241.6,310.4,0.8617849032275651,0.03389361561591447,0.8748094582962773,0.03871817579149313,0.6113406109410329,0.0628235726637086,0.803993819667226,0.033845320808764144,0.8047590108465659,0.031713319436702185,0.8248438888109944,0.034664070929227665,0.7856062415412787,0.04961631998772332,0.7856062415412787,0.04961631998772332,0.824443150630121,0.04327542747038238,0.17555684936987906,0.04327542747038237
Targeted_relabel_top_5pct_as_ACP,"Relabel the top 5% of nominal negatives ranked by consensus OOF ACP probability as positive, then completely retrain.",supervised,relabel,0.05,0.0,5,1273.6,318.4,0.8516606959868603,0.022614163918325072,0.8753152149707855,0.02394702079477556,0.5889414333838403,0.049517862873469654,0.8001378378823419,0.023213807619633813,0.7939650243488892,0.024244446797063654,0.8138182711900427,0.03750447351648155,0.7885415077184073,0.037221770919282804,0.7885415077184073,0.037221770919282804,0.7995061057221869,0.05079935929372306,0.200493894277813,0.05079935929372304
Targeted_exclude_top_10pct_negatives,"Exclude the top 10% of nominal negatives ranked by consensus OOF ACP probability, then completely retrain.",supervised,exclude,0.1,0.0,5,1209.6,302.4,0.8657272601477175,0.021747715388115058,0.8812997220955456,0.010403027797628679,0.625419583240863,0.04063872585336728,0.8172908395512352,0.021457217633588422,0.8121619667214299,0.020656583234100554,0.8344497913223833,0.026340659604273887,0.8019982485470901,0.03737098788434127,0.8019982485470901,0.03737098788434127,0.8229799553824126,0.040396992852396965,0.17702004461758733,0.04039699285239696
Targeted_relabel_top_10pct_as_ACP,"Relabel the top 10% of nominal negatives ranked by consensus OOF ACP probability as positive, then completely retrain.",supervised,relabel,0.1,0.0,5,1273.6,318.4,0.8722419263140161,0.013056082284321896,0.897852712238236,0.009603619090803388,0.6226150998053964,0.061133852772025474,0.8288434444758472,0.020458649957248685,0.8128073184676958,0.028812216255158063,0.8350710712817415,0.04000741746821289,0.8235261359300384,0.010485972781649549,0.8235261359300384,0.010485972781649549,0.7988791995471649,0.06337497007085337,0.20112080045283523,0.06337497007085338
Targeted_exclude_top_20pct_negatives,"Exclude the top 20% of nominal negatives ranked by consensus OOF ACP probability, then completely retrain.",supervised,exclude,0.2,0.0,5,1145.6,286.4,0.8962608747566353,0.02594607699065772,0.9250163754990114,0.016307665211861076,0.6798920918306228,0.06459697501051131,0.8551245303706061,0.02879560085278155,0.8409814360626975,0.03212176383279344,0.8637382136030233,0.022141859418408676,0.8473847623596846,0.043533040813267254,0.8473847623596846,0.043533040813267254,0.8337253601334798,0.029473231602447688,0.1662746398665203,0.029473231602447702
Targeted_relabel_top_20pct_as_ACP,"Relabel the top 20% of nominal negatives ranked by consensus OOF ACP probability as positive, then completely retrain.",supervised,relabel,0.2,0.0,5,1273.6,318.4,0.9125419141950095,0.026290150152351494,0.9340087713534644,0.027113616845674447,0.7040809928767044,0.04422893879419769,0.8808019098738695,0.01300442871610365,0.8573983162792531,0.018538222430124762,0.8836600564582577,0.02991289393154667,0.8794163565465233,0.0326678738573398,0.8794163565465233,0.0326678738573398,0.8234363409799146,0.05581097225713394,0.17656365902008542,0.055810972257133946
